epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3957,3.7492,81.9314,1.62701,4e-05,0.04124,8e-05,2e-05,3.50778,36.6029,1.55453,0.09204,4e-05,4e-05
2,19.2342,3.93313,78.5982,1.80286,0,0,0,0,3.11327,6.29605,1.29793,0.0830848,8.48317e-05,8.48317e-05
3,23.4157,3.11947,11.0458,1.25719,0.0001,0.10604,6e-05,2e-05,2.64147,67.6389,1.11861,0.0741295,0.000129485,0.000129485
4,27.5026,2.90157,4.30501,1.17351,6e-05,0.16348,3e-05,1e-05,2.7417,486.101,1.08748,0.065174,0.00017396,0.00017396
5,31.5522,2.76129,2.97446,1.1092,0.33496,0.00344,0.00135,0.00038,2.30047,35.7221,1.08564,0.0562183,0.000218258,0.000218258
6,35.8886,2.66312,2.2085,1.1216,0.32878,0.2354,0.17482,0.05369,2.81125,17.9687,1.1367,0.0472624,0.000262376,0.000262376
7,40.1447,2.45227,1.95694,1.05964,0.53136,0.33908,0.38599,0.1371,2.61868,3.49806,1.08253,0.0383063,0.000306317,0.000306317
8,44.2771,2.48752,1.79345,1.06989,0.51523,0.41291,0.40337,0.16455,2.6074,1.65721,1.10022,0.0293501,0.00035008,0.00035008
9,48.6116,2.40879,1.58955,1.05571,0.50371,0.49833,0.43192,0.17754,2.47,1.54954,1.09826,0.0203937,0.000393664,0.000393664
10,52.6801,2.62632,1.93174,1.08128,0.38711,0.36873,0.40236,0.16414,2.57062,1.75454,1.12568,0.0114371,0.00043707,0.00043707
11,56.6407,2.4903,1.7074,1.06535,0.83259,0.38488,0.40468,0.14378,2.50507,2.08918,1.09864,0.0024803,0.000480298,0.000480298
12,60.9869,2.59068,1.62156,1.09323,0.66359,0.51092,0.54093,0.20805,2.37209,4.65575,1.05892,0.00048911,0.00048911,0.00048911
13,65.1835,2.49305,1.60276,1.04437,0.80814,0.39433,0.4105,0.17673,2.18409,1.92793,1.0012,0.00048812,0.00048812,0.00048812
14,69.2904,2.46074,1.56895,1.02379,0.79817,0.34227,0.43073,0.17833,2.16594,1.53159,0.96691,0.00048713,0.00048713,0.00048713
15,73.3671,2.43827,1.5705,1.03682,0.51637,0.54887,0.49832,0.19277,2.32196,1.44269,1.01455,0.00048614,0.00048614,0.00048614
16,77.6842,2.34168,1.51976,1.09944,0.64924,0.57552,0.63939,0.21278,2.52111,1.47288,1.09191,0.00048515,0.00048515,0.00048515
17,82.0026,2.42107,1.50276,0.98892,0.72074,0.52734,0.63431,0.18333,2.73931,1.95379,1.13778,0.00048416,0.00048416,0.00048416
18,86.3663,2.52966,1.46539,1.02039,0.57306,0.49971,0.5128,0.19333,2.59237,1.29911,1.0871,0.00048317,0.00048317,0.00048317
19,90.6839,2.3334,1.39054,1.03988,0.93366,0.45714,0.63128,0.21183,2.6462,1.55798,1.15984,0.00048218,0.00048218,0.00048218
20,94.7521,2.36405,1.32908,0.99317,0.68047,0.56966,0.59621,0.23922,2.45391,1.16288,1.12829,0.00048119,0.00048119,0.00048119
21,99.1565,2.40282,1.4234,1.06942,0.57641,0.62739,0.60772,0.25187,2.36331,1.15747,1.08087,0.0004802,0.0004802,0.0004802
22,103.421,2.42542,1.36008,1.01067,0.56978,0.63868,0.62002,0.26529,2.24444,1.12328,1.04583,0.00047921,0.00047921,0.00047921
23,107.765,2.29791,1.30456,0.99438,0.61558,0.5946,0.62169,0.27729,2.18494,1.29364,1.04011,0.00047822,0.00047822,0.00047822
24,111.952,2.2207,1.33638,1.04749,0.61336,0.59038,0.60133,0.26219,2.12927,1.03605,1.05597,0.00047723,0.00047723,0.00047723
25,116.128,2.18339,1.21356,1.01138,0.85113,0.5575,0.66206,0.27779,2.06306,1.09119,1.04825,0.00047624,0.00047624,0.00047624
