epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8319,1.49975,1.2552,0.96976,0.58848,0.59014,0.56918,0.30544,1.43054,1.00077,0.92958,0.0670166,0.000165746,0.000165746
2,103.373,1.33635,0.84371,0.93973,0.78743,0.64949,0.75388,0.43439,1.2809,0.81603,0.90684,0.0338492,0.000331754,0.000331754
3,143.494,1.31774,0.80557,0.93647,0.73748,0.62425,0.70161,0.38267,1.38172,0.86268,0.91001,0.000681265,0.000497103,0.000497103
4,182.561,1.33071,0.79266,0.9393,0.80778,0.67534,0.77717,0.45333,1.23359,0.73903,0.89008,0.00049703,0.00049703,0.00049703
5,223.201,1.28297,0.76329,0.93005,0.80396,0.67047,0.77184,0.44976,1.23297,0.735,0.88898,0.00049604,0.00049604,0.00049604
6,263.69,1.24344,0.72938,0.91958,0.81269,0.67139,0.77877,0.45229,1.22265,0.71847,0.88466,0.00049505,0.00049505,0.00049505
7,303.636,1.23952,0.72898,0.91893,0.78707,0.65843,0.76,0.42758,1.26464,0.74737,0.88957,0.00049406,0.00049406,0.00049406
8,342.258,1.22224,0.71928,0.91697,0.81384,0.67812,0.78756,0.46309,1.20699,0.70538,0.87695,0.00049307,0.00049307,0.00049307
9,382.994,1.20835,0.70184,0.90218,0.81969,0.68695,0.79276,0.47119,1.17612,0.67834,0.87828,0.00049208,0.00049208,0.00049208
10,422.646,1.22716,0.70908,0.91847,0.82207,0.70388,0.79897,0.46365,1.22815,0.70058,0.88341,0.00049109,0.00049109,0.00049109
11,462.808,1.20814,0.68306,0.91005,0.81122,0.68254,0.79213,0.46095,1.21018,0.69715,0.88304,0.0004901,0.0004901,0.0004901
12,502.8,1.19134,0.67821,0.90881,0.80245,0.70089,0.8001,0.46201,1.17552,0.68851,0.87355,0.00048911,0.00048911,0.00048911
13,542.753,1.18745,0.67236,0.90014,0.82064,0.69281,0.79742,0.47492,1.1816,0.68503,0.88127,0.00048812,0.00048812,0.00048812
14,582.642,1.19677,0.67425,0.91089,0.81253,0.68625,0.7946,0.47359,1.19783,0.68744,0.87674,0.00048713,0.00048713,0.00048713
15,626.656,1.18235,0.66803,0.89989,0.79508,0.70692,0.80595,0.47406,1.18215,0.68755,0.87819,0.00048614,0.00048614,0.00048614
16,669.382,1.18049,0.66586,0.90543,0.77515,0.67998,0.77614,0.42885,1.32145,0.74435,0.89494,0.00048515,0.00048515,0.00048515
17,711.017,1.19247,0.65971,0.89562,0.82958,0.70576,0.80685,0.4759,1.15934,0.6783,0.87199,0.00048416,0.00048416,0.00048416
18,750.645,1.178,0.66559,0.90734,0.82509,0.70483,0.81172,0.47901,1.15722,0.67093,0.8737,0.00048317,0.00048317,0.00048317
19,790.937,1.15231,0.63923,0.895,0.81686,0.71969,0.81448,0.48783,1.12827,0.65497,0.86868,0.00048218,0.00048218,0.00048218
20,830.685,1.15224,0.64412,0.89177,0.82683,0.70856,0.81492,0.48409,1.16146,0.65734,0.87516,0.00048119,0.00048119,0.00048119
21,871.079,1.16919,0.656,0.90734,0.81476,0.713,0.81246,0.48848,1.15156,0.66154,0.87362,0.0004802,0.0004802,0.0004802
22,909.347,1.16205,0.65435,0.90545,0.81765,0.71575,0.81433,0.4864,1.14438,0.646,0.87487,0.00047921,0.00047921,0.00047921
23,947.78,1.16925,0.64983,0.90304,0.83,0.7143,0.80722,0.48242,1.14241,0.642,0.87947,0.00047822,0.00047822,0.00047822
24,986.737,1.16198,0.64747,0.89788,0.8205,0.69949,0.80734,0.48861,1.12809,0.65087,0.86937,0.00047723,0.00047723,0.00047723
25,1025.03,1.15833,0.63597,0.89406,0.82469,0.7039,0.81686,0.49082,1.14271,0.64511,0.86741,0.00047624,0.00047624,0.00047624
26,1063.92,1.13585,0.62464,0.89563,0.80278,0.71086,0.80779,0.48581,1.13964,0.65818,0.86907,0.00047525,0.00047525,0.00047525
27,1103.42,1.15368,0.63771,0.89368,0.81324,0.69693,0.80153,0.48297,1.13928,0.65005,0.86957,0.00047426,0.00047426,0.00047426
28,1142.12,1.14869,0.62521,0.89079,0.83255,0.7205,0.82059,0.47989,1.14268,0.65306,0.86583,0.00047327,0.00047327,0.00047327
29,1181.81,1.13508,0.61608,0.89162,0.81284,0.7403,0.82805,0.49532,1.13164,0.63815,0.86958,0.00047228,0.00047228,0.00047228
30,1220.85,1.12599,0.61538,0.89283,0.82663,0.72062,0.81511,0.49094,1.1243,0.62948,0.86723,0.00047129,0.00047129,0.00047129
31,1260.44,1.12886,0.62077,0.8874,0.83088,0.71412,0.82165,0.492,1.13703,0.63895,0.86925,0.0004703,0.0004703,0.0004703
32,1299.45,1.13369,0.62169,0.89079,0.834,0.71157,0.82314,0.49493,1.13391,0.64612,0.87007,0.00046931,0.00046931,0.00046931
33,1338.03,1.13635,0.62136,0.89491,0.83417,0.71598,0.82144,0.49406,1.12531,0.62304,0.86619,0.00046832,0.00046832,0.00046832
34,1376.89,1.13395,0.61237,0.89059,0.81905,0.74108,0.82968,0.49291,1.11385,0.62749,0.86628,0.00046733,0.00046733,0.00046733
35,1415.28,1.1342,0.61811,0.89639,0.83736,0.71714,0.82508,0.49876,1.11064,0.63942,0.85803,0.00046634,0.00046634,0.00046634
36,1453.6,1.12126,0.61156,0.89206,0.82836,0.73084,0.82859,0.49569,1.11565,0.62898,0.86399,0.00046535,0.00046535,0.00046535
37,1491.8,1.11409,0.60418,0.89029,0.82693,0.71993,0.82091,0.49894,1.11847,0.62784,0.86336,0.00046436,0.00046436,0.00046436
38,1530.05,1.13432,0.61693,0.89913,0.80671,0.73468,0.82568,0.49715,1.11944,0.616,0.86318,0.00046337,0.00046337,0.00046337
39,1568.36,1.13262,0.62108,0.89309,0.83921,0.72724,0.83172,0.49548,1.12639,0.63868,0.86719,0.00046238,0.00046238,0.00046238
40,1606.6,1.11002,0.60048,0.88571,0.83363,0.74176,0.83379,0.50343,1.1068,0.61451,0.8628,0.00046139,0.00046139,0.00046139
41,1644.88,1.11765,0.60005,0.88773,0.8414,0.72503,0.83177,0.50404,1.10184,0.60507,0.86675,0.0004604,0.0004604,0.0004604
42,1683.11,1.10393,0.60086,0.88397,0.82432,0.7464,0.84387,0.50793,1.09249,0.62096,0.8584,0.00045941,0.00045941,0.00045941
43,1721.29,1.11564,0.60365,0.88844,0.83529,0.69345,0.80123,0.49585,1.10599,0.64354,0.8574,0.00045842,0.00045842,0.00045842
44,1759.71,1.10091,0.59738,0.88693,0.82555,0.73967,0.83238,0.50468,1.10483,0.61323,0.8614,0.00045743,0.00045743,0.00045743
45,1798.06,1.10257,0.59855,0.88676,0.83682,0.73123,0.83538,0.50012,1.10058,0.60357,0.86106,0.00045644,0.00045644,0.00045644
46,1835.97,1.10711,0.59119,0.88594,0.8314,0.71803,0.81949,0.50171,1.10047,0.62644,0.86438,0.00045545,0.00045545,0.00045545
47,1874.84,1.10871,0.59338,0.88321,0.84651,0.72922,0.84,0.50251,1.10243,0.61751,0.85967,0.00045446,0.00045446,0.00045446
48,1913.21,1.10295,0.59698,0.88282,0.83745,0.73549,0.83477,0.50563,1.09494,0.61189,0.85719,0.00045347,0.00045347,0.00045347
49,1952.89,1.09627,0.59274,0.88368,0.82248,0.75102,0.84325,0.51072,1.10722,0.60232,0.85839,0.00045248,0.00045248,0.00045248
50,1991.34,1.10475,0.5941,0.89349,0.82177,0.7536,0.83978,0.51303,1.09055,0.61696,0.85606,0.00045149,0.00045149,0.00045149
51,2029.76,1.09866,0.58892,0.88358,0.82177,0.7549,0.838,0.50771,1.09788,0.60465,0.86083,0.0004505,0.0004505,0.0004505
52,2067.95,1.08575,0.58659,0.8858,0.81273,0.74281,0.83438,0.50758,1.10188,0.61045,0.86062,0.00044951,0.00044951,0.00044951
53,2106.41,1.11933,0.59849,0.88978,0.82939,0.76382,0.84858,0.51427,1.08767,0.60003,0.85829,0.00044852,0.00044852,0.00044852
54,2144.86,1.0937,0.58335,0.87765,0.8305,0.73505,0.83858,0.50728,1.0984,0.60288,0.85619,0.00044753,0.00044753,0.00044753
55,2183.25,1.07626,0.57259,0.87888,0.84839,0.72515,0.83443,0.49624,1.11454,0.60901,0.86159,0.00044654,0.00044654,0.00044654
56,2222.92,1.08938,0.58,0.88331,0.84084,0.72782,0.83479,0.50908,1.10279,0.61603,0.85869,0.00044555,0.00044555,0.00044555
57,2263.02,1.08781,0.5836,0.88285,0.82988,0.73572,0.83762,0.51399,1.09148,0.60581,0.8567,0.00044456,0.00044456,0.00044456
58,2301.96,1.08962,0.57942,0.88228,0.83469,0.7457,0.84165,0.51308,1.09348,0.60687,0.86029,0.00044357,0.00044357,0.00044357
59,2341.04,1.08862,0.58409,0.88284,0.84257,0.72155,0.83353,0.51032,1.10565,0.60586,0.86124,0.00044258,0.00044258,0.00044258
60,2379.74,1.06777,0.5713,0.87437,0.82736,0.75123,0.8459,0.51602,1.09236,0.59702,0.85665,0.00044159,0.00044159,0.00044159
61,2419.68,1.08392,0.56916,0.87288,0.81838,0.75238,0.84182,0.51954,1.08231,0.5982,0.85433,0.0004406,0.0004406,0.0004406
62,2459.18,1.07326,0.57342,0.87299,0.83333,0.75337,0.84703,0.52006,1.06818,0.58908,0.85231,0.00043961,0.00043961,0.00043961
63,2497.89,1.10986,0.58778,0.88458,0.85353,0.71969,0.83346,0.51357,1.09564,0.60112,0.85664,0.00043862,0.00043862,0.00043862
64,2537.38,1.08491,0.57821,0.87982,0.85099,0.72282,0.83862,0.5139,1.09255,0.60726,0.8541,0.00043763,0.00043763,0.00043763
65,2576.96,1.08046,0.57805,0.88122,0.8401,0.72356,0.83162,0.50578,1.10372,0.60285,0.85617,0.00043664,0.00043664,0.00043664
66,2617.23,1.08869,0.57821,0.88382,0.85338,0.74748,0.84687,0.52449,1.06655,0.58743,0.85176,0.00043565,0.00043565,0.00043565
67,2658.52,1.07457,0.56956,0.87648,0.84828,0.74222,0.84754,0.51855,1.07482,0.59221,0.85036,0.00043466,0.00043466,0.00043466
68,2699.11,1.08736,0.58488,0.87901,0.84113,0.73502,0.84373,0.51757,1.08028,0.59248,0.85285,0.00043367,0.00043367,0.00043367
69,2739.43,1.07869,0.57685,0.88113,0.83014,0.75081,0.84659,0.51963,1.07365,0.58668,0.8527,0.00043268,0.00043268,0.00043268
70,2780.8,1.08425,0.58293,0.88397,0.81167,0.74667,0.83768,0.51041,1.09223,0.60192,0.8579,0.00043169,0.00043169,0.00043169
