epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2106,2.31911,3.98221,0.96168,0.00066,0.00454,0.00034,0.00018,2.40884,3.9839,0.99227,0.095025,2.5e-05,2.5e-05
2,31.6639,2.04817,3.4087,0.87781,0.00922,0.21899,0.00987,0.00339,2.61475,3.39616,0.87955,0.0890549,5.49456e-05,5.49456e-05
3,43.9522,2.00238,2.43514,0.84783,0.00947,0.23654,0.03942,0.01326,2.48442,3.16828,0.86803,0.0830848,8.48317e-05,8.48317e-05
4,61.9232,2.18245,2.17852,0.84442,0.00907,0.2264,0.05935,0.01723,2.70985,3.1503,0.87266,0.0771147,0.000114658,0.000114658
5,73.3938,2.1469,2.06936,0.83008,0.00936,0.23368,0.08241,0.02491,2.65138,2.96977,0.86395,0.0711444,0.000144426,0.000144426
6,84.2502,1.90093,1.88635,0.82369,0.01061,0.26489,0.13337,0.05348,2.27477,2.87282,0.83701,0.0651741,0.000174134,0.000174134
7,95.5669,1.75102,1.67326,0.81975,0.0109,0.27204,0.1674,0.07061,2.18552,2.91778,0.82825,0.0592038,0.000203782,0.000203782
8,120.563,1.95337,1.62922,0.82048,0.0102,0.25475,0.16903,0.06293,2.31437,2.93908,0.82944,0.0532334,0.000233371,0.000233371
9,134.662,1.99762,1.57685,0.82318,0.01141,0.28492,0.22136,0.11135,1.76626,2.88016,0.80835,0.0472629,0.000262901,0.000262901
10,140.559,1.87402,1.48792,0.81794,0.07643,0.28229,0.25207,0.11265,1.88484,2.89729,0.81232,0.0412924,0.000292372,0.000292372
11,146.677,1.75996,1.36412,0.80391,0.08092,0.34661,0.28185,0.14029,1.70933,2.84366,0.80795,0.0353218,0.000321783,0.000321783
12,157.269,1.86886,1.35032,0.80819,0.05441,0.49235,0.29648,0.15685,1.5337,2.7612,0.8025,0.0293511,0.000351134,0.000351134
13,172.293,1.84539,1.37176,0.80436,0.03201,0.56069,0.29578,0.14876,1.61185,2.65828,0.80406,0.0233804,0.000380426,0.000380426
14,201.83,1.96938,1.33784,0.80754,0.02774,0.59801,0.30454,0.16636,1.45841,2.53225,0.80116,0.0174097,0.000409659,0.000409659
15,223.011,1.72843,1.27068,0.80399,0.02646,0.60961,0.31286,0.17346,1.47879,2.45091,0.8018,0.0114388,0.000438832,0.000438832
16,229.68,1.77696,1.29803,0.80813,0.02483,0.62184,0.32443,0.18136,1.47097,2.30155,0.80329,0.00546795,0.000467946,0.000467946
17,236.949,1.70658,1.21698,0.81172,0.02476,0.63271,0.33235,0.18909,1.43883,2.22942,0.8042,0.00049208,0.00049208,0.00049208
18,252.362,1.7751,1.20725,0.7999,0.68298,0.17573,0.34297,0.19791,1.36438,2.03112,0.80123,0.000491585,0.000491585,0.000491585
19,275.4,1.9217,1.26864,0.80912,0.62878,0.12867,0.34174,0.19843,1.36312,1.9429,0.80153,0.00049109,0.00049109,0.00049109
20,294.871,1.70627,1.23312,0.79898,0.65889,0.22399,0.35015,0.20349,1.41045,1.71481,0.80271,0.000490595,0.000490595,0.000490595
21,311.466,1.71764,1.16515,0.80064,0.59467,0.28967,0.3518,0.19712,1.52975,1.61857,0.80654,0.0004901,0.0004901,0.0004901
22,329.724,1.66658,1.169,0.81776,0.54133,0.36081,0.35378,0.20456,1.42957,1.46663,0.80111,0.000489605,0.000489605,0.000489605
23,344.774,1.75481,1.22259,0.79424,0.52893,0.36641,0.3464,0.20031,1.42559,1.42168,0.80078,0.00048911,0.00048911,0.00048911
