epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4272,2.17707,3.85917,0.93415,0.00877,0.10382,0.00741,0.00173,2.5554,3.58834,0.90749,0.091045,4.5e-05,4.5e-05
2,62.6582,2.61611,2.94225,0.86987,0.0131,0.21134,0.05906,0.01965,2.51425,3.11804,0.90405,0.0810949,9.4906e-05,9.4906e-05
3,88.787,2.25575,2.16219,0.85932,0.01276,0.2058,0.04873,0.01251,3.11543,3.04168,0.89904,0.0711447,0.000144713,0.000144713
4,114.374,2.28341,2.06248,0.85824,0.01526,0.24622,0.11482,0.03665,2.51798,2.87805,0.85943,0.0611944,0.000194421,0.000194421
5,142.231,2.09622,2.00824,0.82467,0.01839,0.2827,0.18982,0.07926,2.13886,2.83876,0.83996,0.051244,0.00024403,0.00024403
6,162.768,1.86823,1.55973,0.82526,0.01883,0.28665,0.1978,0.0882,1.9888,2.85589,0.83191,0.0412935,0.00029354,0.00029354
7,194.266,1.95625,1.56327,0.82126,0.05375,0.36616,0.22764,0.09501,2.00418,2.78375,0.83036,0.031343,0.000342951,0.000342951
8,225.874,1.73344,1.37251,0.8131,0.04605,0.55252,0.25837,0.12152,1.7615,2.62342,0.82613,0.0213923,0.000392263,0.000392263
9,247.213,1.87318,1.40584,0.81076,0.04247,0.63846,0.28751,0.14054,1.70333,2.44471,0.82369,0.0114415,0.000441476,0.000441476
10,264.421,1.80716,2.04214,0.81527,0.04083,0.66216,0.30438,0.13798,1.87797,2.22254,0.82947,0.00149059,0.00049059,0.00049059
11,295.283,1.74803,1.47433,0.8146,0.38176,0.4764,0.31904,0.15219,1.80366,2.09394,0.82823,0.00049505,0.00049505,0.00049505
12,311.689,1.71796,1.22755,0.80715,0.61464,0.15694,0.35479,0.17895,1.65809,1.83377,0.82443,0.000494555,0.000494555,0.000494555
13,345.998,1.78654,1.21463,0.80668,0.59966,0.22503,0.37407,0.19486,1.5891,1.65964,0.82223,0.00049406,0.00049406,0.00049406
14,385.532,1.82345,1.44542,0.7944,0.56963,0.34618,0.3944,0.20908,1.58203,1.37087,0.82639,0.000493565,0.000493565,0.000493565
15,453.767,1.6149,1.14412,0.81484,0.52092,0.41756,0.4018,0.20886,1.62694,1.23984,0.82624,0.00049307,0.00049307,0.00049307
16,479.694,1.7537,1.77362,0.8021,0.4998,0.44719,0.40941,0.22517,1.50679,1.11127,0.81907,0.000492575,0.000492575,0.000492575
