epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3939,2.26647,4.60128,0.94318,0.03168,0.01512,0.00494,0.00237,2.12051,4.40174,0.95458,0.095025,2.5e-05,2.5e-05
2,83.2449,1.80994,2.77145,0.87436,0.79932,0.17555,0.18407,0.08098,2.2681,1.95648,0.84337,0.0890549,5.49456e-05,5.49456e-05
3,112.031,1.79935,1.25265,0.83296,0.34737,0.16612,0.21143,0.1035,2.13017,1.92811,0.83579,0.0830848,8.48317e-05,8.48317e-05
4,151.101,1.868,1.11448,0.82283,0.38123,0.18453,0.18223,0.08076,2.06077,2.197,0.82881,0.0771147,0.000114658,0.000114658
5,192.572,1.82205,1.02728,0.81458,0.22621,0.16636,0.11339,0.05538,1.83108,2.32477,0.82075,0.0711444,0.000144426,0.000144426
6,240.006,1.65014,0.99337,0.8138,0.37969,0.19603,0.22786,0.12184,1.80593,1.88329,0.81462,0.0651741,0.000174134,0.000174134
7,271.371,1.50072,0.87722,0.80565,0.40204,0.24623,0.25085,0.13706,1.66875,1.86919,0.81059,0.0592038,0.000203782,0.000203782
8,316.007,1.70304,0.91678,0.8057,0.26861,0.29249,0.17221,0.08375,1.83639,1.77895,0.8123,0.0532334,0.000233371,0.000233371
9,352.919,1.70329,0.93852,0.80885,0.33405,0.37526,0.22398,0.13316,1.42255,1.52637,0.79753,0.0472629,0.000262901,0.000262901
10,390.716,1.61485,0.89547,0.80706,0.36127,0.32053,0.23282,0.1239,1.51574,1.42621,0.79672,0.0412924,0.000292372,0.000292372
11,420.92,1.49833,0.86701,0.79451,0.44688,0.35929,0.32,0.18376,1.36544,1.12429,0.79266,0.0353218,0.000321783,0.000321783
12,467.03,1.54361,0.82733,0.79695,0.50596,0.40954,0.4122,0.24818,1.29453,0.94003,0.7902,0.0293511,0.000351134,0.000351134
13,502.947,1.55719,0.88422,0.79071,0.57344,0.43778,0.4773,0.28459,1.32603,0.83842,0.78837,0.0233804,0.000380426,0.000380426
14,556.577,1.63633,0.86628,0.79462,0.57508,0.43852,0.45699,0.27074,1.22613,0.86283,0.78395,0.0174097,0.000409659,0.000409659
15,595.54,1.43974,0.80148,0.79219,0.58345,0.44944,0.46392,0.27999,1.18521,0.8584,0.78506,0.0114388,0.000438832,0.000438832
16,626.218,1.48059,0.83094,0.79737,0.64302,0.45761,0.52093,0.33556,1.1626,0.80352,0.78496,0.00546795,0.000467946,0.000467946
17,669.386,1.38449,0.78084,0.79857,0.68218,0.45968,0.53892,0.34933,1.16743,0.75196,0.7843,0.00049208,0.00049208,0.00049208
18,739.349,1.46251,0.79012,0.7862,0.73634,0.4758,0.56009,0.36196,1.16415,0.70873,0.78486,0.000491585,0.000491585,0.000491585
19,786.424,1.582,0.81892,0.79472,0.6913,0.48167,0.55261,0.34702,1.19111,0.76999,0.78553,0.00049109,0.00049109,0.00049109
20,827.587,1.46656,0.78543,0.78839,0.64664,0.49142,0.54128,0.34528,1.10089,0.84064,0.78608,0.000490595,0.000490595,0.000490595
21,859.779,1.43882,0.7754,0.78864,0.67715,0.48222,0.52839,0.3275,1.14837,0.77644,0.78402,0.0004901,0.0004901,0.0004901
22,901.565,1.32454,0.74569,0.79972,0.64628,0.48121,0.52668,0.33104,1.11946,0.74689,0.78202,0.000489605,0.000489605,0.000489605
23,931.362,1.45223,0.82743,0.78092,0.71501,0.46418,0.54348,0.34758,1.11245,0.71278,0.78396,0.00048911,0.00048911,0.00048911
24,963.845,1.41903,0.74171,0.79432,0.76696,0.4893,0.59236,0.3993,1.05049,0.71416,0.78306,0.000488615,0.000488615,0.000488615
25,996.955,1.38038,0.70694,0.78174,0.7513,0.49728,0.59096,0.39584,1.0321,0.73578,0.78246,0.00048812,0.00048812,0.00048812
26,1036.23,1.36679,0.74532,0.79862,0.77764,0.5202,0.60864,0.41631,1.00435,0.63847,0.77819,0.000487625,0.000487625,0.000487625
27,1062.61,1.36959,0.71654,0.78676,0.77781,0.51216,0.60378,0.41393,1.00292,0.6446,0.77763,0.00048713,0.00048713,0.00048713
28,1085.69,1.30159,0.71736,0.79445,0.77431,0.52285,0.60664,0.40667,1.04751,0.66192,0.77778,0.000486635,0.000486635,0.000486635
29,1112.46,1.46281,0.82756,0.7856,0.82004,0.51161,0.60549,0.40084,1.07904,0.66436,0.77878,0.00048614,0.00048614,0.00048614
30,1138.01,1.35665,0.71746,0.78918,0.78546,0.5101,0.60129,0.40587,0.99669,0.66705,0.77805,0.000485645,0.000485645,0.000485645
31,1173.05,1.33286,0.72324,0.78695,0.81144,0.49806,0.60086,0.39634,1.06239,0.66597,0.77928,0.00048515,0.00048515,0.00048515
32,1201.22,1.36435,0.69192,0.78411,0.81092,0.50036,0.60592,0.40664,1.01075,0.63222,0.78003,0.000484655,0.000484655,0.000484655
33,1231.25,1.30938,0.70089,0.7879,0.76632,0.52077,0.60554,0.40256,1.06123,0.63489,0.77997,0.00048416,0.00048416,0.00048416
34,1265.41,1.5097,0.73823,0.7828,0.79022,0.5217,0.60688,0.40484,1.08225,0.6609,0.78018,0.000483665,0.000483665,0.000483665
35,1297.7,1.40596,0.70948,0.79422,0.79604,0.51763,0.61344,0.40837,1.09257,0.66171,0.77974,0.00048317,0.00048317,0.00048317
36,1325.91,1.42012,0.70682,0.79043,0.84315,0.50562,0.62791,0.4264,1.03516,0.66222,0.7786,0.000482675,0.000482675,0.000482675
37,1353.62,1.37994,0.70072,0.77885,0.82837,0.50632,0.62964,0.42774,1.01041,0.67554,0.77912,0.00048218,0.00048218,0.00048218
38,1392.47,1.36532,0.68974,0.79716,0.82636,0.50731,0.62065,0.41726,1.01893,0.6664,0.77987,0.000481685,0.000481685,0.000481685
39,1427.2,1.25121,0.67052,0.79513,0.79587,0.50531,0.61371,0.4153,1.01295,0.64038,0.77884,0.00048119,0.00048119,0.00048119
40,1466.42,1.32243,0.66588,0.79441,0.79547,0.50892,0.61393,0.41838,1.03047,0.63068,0.78061,0.000480695,0.000480695,0.000480695
41,1495.42,1.25017,0.67848,0.79241,0.81588,0.49755,0.61856,0.43072,0.99806,0.62244,0.77879,0.0004802,0.0004802,0.0004802
42,1526.75,1.32083,0.66996,0.78061,0.82621,0.49069,0.61647,0.42474,1.02686,0.70231,0.78025,0.000479705,0.000479705,0.000479705
43,1570.83,1.30911,0.67104,0.78809,0.80609,0.49771,0.61342,0.41926,1.063,0.7378,0.78094,0.00047921,0.00047921,0.00047921
44,1609.92,1.39252,0.71174,0.77974,0.81411,0.51252,0.6199,0.42911,0.99928,0.69943,0.78038,0.000478715,0.000478715,0.000478715
45,1650.38,1.34539,0.70286,0.7857,0.81961,0.52426,0.62931,0.43608,0.97017,0.63838,0.77865,0.00047822,0.00047822,0.00047822
46,1689.2,1.3768,0.67742,0.78455,0.79158,0.53157,0.63003,0.42152,1.06149,0.62528,0.77948,0.000477725,0.000477725,0.000477725
