epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2303,2.11156,4.29085,0.9318,0.69464,0.12555,0.12618,0.06271,1.95577,2.45823,0.84029,0.091045,4.5e-05,4.5e-05
2,130.868,1.96551,1.82784,0.8348,0.30404,0.44418,0.22318,0.10477,2.11684,2.10327,0.8474,0.0810949,9.4906e-05,9.4906e-05
3,189.527,1.77849,1.17038,0.82505,0.29639,0.36005,0.18972,0.08852,2.00059,2.16282,0.8453,0.0711447,0.000144713,0.000144713
4,259.117,1.96686,1.14903,0.8316,0.37861,0.39807,0.28118,0.13724,1.94521,1.75102,0.83682,0.0611944,0.000194421,0.000194421
5,327.413,1.82241,1.11789,0.80426,0.30884,0.40787,0.23343,0.11774,1.68391,1.53009,0.82323,0.051244,0.00024403,0.00024403
6,384.943,1.5756,0.8967,0.80349,0.28598,0.47115,0.19824,0.1008,1.69944,2.34169,0.82187,0.0412935,0.00029354,0.00029354
7,439.367,1.62868,0.93324,0.80007,0.46017,0.43349,0.35073,0.18336,1.55589,1.16783,0.81498,0.031343,0.000342951,0.000342951
8,500.909,1.44262,0.8404,0.79535,0.49818,0.42963,0.39621,0.22756,1.43103,1.06563,0.80996,0.0213923,0.000392263,0.000392263
9,611.827,1.60935,0.87573,0.79663,0.46161,0.48328,0.40055,0.22267,1.41254,1.03171,0.81165,0.0114415,0.000441476,0.000441476
10,674.578,1.5678,1.02205,0.80038,0.60136,0.52607,0.5448,0.31491,1.36428,0.84134,0.80887,0.00149059,0.00049059,0.00049059
11,736.512,1.49048,0.88305,0.803,0.60953,0.52092,0.55574,0.32256,1.36478,0.82288,0.8082,0.00049505,0.00049505,0.00049505
12,796.711,1.42138,0.7723,0.79235,0.6622,0.50379,0.56427,0.32898,1.31917,0.83563,0.80811,0.000494555,0.000494555,0.000494555
13,866.123,1.49226,0.77429,0.79145,0.6738,0.51579,0.58894,0.35588,1.28879,0.75747,0.80685,0.00049406,0.00049406,0.00049406
14,938.905,1.53054,0.82854,0.77683,0.71966,0.55473,0.63113,0.38168,1.27801,0.7193,0.80497,0.000493565,0.000493565,0.000493565
15,1002.67,1.34185,0.72794,0.80102,0.73267,0.56155,0.64485,0.39928,1.22362,0.70092,0.80246,0.00049307,0.00049307,0.00049307
16,1067.53,1.45108,0.99068,0.78451,0.73281,0.55709,0.64448,0.39389,1.26762,0.70349,0.80107,0.000492575,0.000492575,0.000492575
17,1126.95,1.36119,0.79189,0.79665,0.76194,0.56228,0.65774,0.40817,1.24389,0.71434,0.80207,0.00049208,0.00049208,0.00049208
18,1177.4,1.52657,0.95906,0.76993,0.76791,0.57986,0.66983,0.41029,1.23044,0.67381,0.79841,0.000491585,0.000491585,0.000491585
19,1235.37,1.42674,0.77177,0.79124,0.74657,0.57433,0.66161,0.40983,1.22469,0.71068,0.80016,0.00049109,0.00049109,0.00049109
20,1295.96,1.39126,0.75648,0.77739,0.70272,0.58715,0.65117,0.40406,1.18561,0.73636,0.79817,0.000490595,0.000490595,0.000490595
21,1353.56,1.46099,0.82055,0.78212,0.7536,0.58588,0.66678,0.41137,1.20712,0.68509,0.79929,0.0004901,0.0004901,0.0004901
22,1409.33,1.53776,0.80341,0.79098,0.77246,0.59596,0.67648,0.42056,1.18548,0.67516,0.79891,0.000489605,0.000489605,0.000489605
23,1460,1.38174,0.73507,0.79261,0.75134,0.59651,0.67152,0.40754,1.24513,0.6752,0.79997,0.00048911,0.00048911,0.00048911
24,1514.55,1.39971,0.72656,0.7932,0.78316,0.59666,0.68862,0.4344,1.19521,0.63809,0.79997,0.000488615,0.000488615,0.000488615
25,1583.84,1.35408,0.698,0.79212,0.77411,0.59269,0.68591,0.43859,1.17831,0.64955,0.79991,0.00048812,0.00048812,0.00048812
26,1633.49,1.34299,0.70611,0.78058,0.80178,0.60255,0.7009,0.45146,1.16198,0.645,0.79861,0.000487625,0.000487625,0.000487625
27,1713.19,1.39848,0.70763,0.79288,0.79697,0.61654,0.70803,0.45495,1.16619,0.63252,0.79768,0.00048713,0.00048713,0.00048713
28,1771.15,1.39493,0.69067,0.77951,0.78463,0.59745,0.70215,0.4502,1.15767,0.62638,0.79838,0.000486635,0.000486635,0.000486635
29,1818.14,1.28705,0.69925,0.7912,0.79675,0.60272,0.708,0.45949,1.12508,0.60778,0.79704,0.00048614,0.00048614,0.00048614
30,1909.5,1.34669,0.85195,0.78999,0.7884,0.59004,0.70127,0.4353,1.23739,0.65048,0.79926,0.000485645,0.000485645,0.000485645
31,1971.45,1.26976,0.71102,0.79525,0.81417,0.60813,0.72349,0.46985,1.11193,0.61139,0.79593,0.00048515,0.00048515,0.00048515
32,2036.83,1.26502,0.63182,0.77709,0.78819,0.61634,0.71921,0.46531,1.12525,0.60761,0.79654,0.000484655,0.000484655,0.000484655
33,2087.22,1.48098,0.71917,0.77636,0.79888,0.60885,0.71747,0.45742,1.16676,0.61655,0.79743,0.00048416,0.00048416,0.00048416
34,2165.71,1.41222,0.68418,0.78703,0.79884,0.61232,0.71134,0.46068,1.12587,0.61514,0.79846,0.000483665,0.000483665,0.000483665
35,2231.26,1.2628,0.62768,0.78232,0.79489,0.6119,0.71097,0.45349,1.15379,0.60849,0.79729,0.00048317,0.00048317,0.00048317
36,2296.46,1.38293,0.69113,0.78585,0.82112,0.59308,0.70798,0.45285,1.1306,0.61436,0.79579,0.000482675,0.000482675,0.000482675
37,2358.4,1.41066,0.6822,0.78361,0.80257,0.60229,0.70056,0.4448,1.16597,0.65107,0.79803,0.00048218,0.00048218,0.00048218
38,2410.1,1.22805,0.63557,0.77805,0.81521,0.611,0.70921,0.45841,1.11559,0.60754,0.7977,0.000481685,0.000481685,0.000481685
39,2496.28,1.27316,0.66108,0.7824,0.82075,0.61037,0.71983,0.46068,1.1445,0.59701,0.79686,0.00048119,0.00048119,0.00048119
40,2556.46,1.29085,0.64798,0.77732,0.78965,0.61918,0.72069,0.47322,1.10564,0.61344,0.79538,0.000480695,0.000480695,0.000480695
41,2614.46,1.25863,0.67165,0.78016,0.80952,0.61497,0.72611,0.48238,1.03919,0.58768,0.7944,0.0004802,0.0004802,0.0004802
42,2677.33,1.25032,0.628,0.78454,0.80324,0.6188,0.72912,0.48203,1.05566,0.59706,0.79422,0.000479705,0.000479705,0.000479705
43,2745,1.25003,0.71553,0.78548,0.82964,0.60144,0.7236,0.4755,1.0632,0.59262,0.79586,0.00047921,0.00047921,0.00047921
44,2811.46,1.1621,0.59525,0.7785,0.82105,0.60879,0.72148,0.47271,1.07425,0.59934,0.79578,0.000478715,0.000478715,0.000478715
45,2866.53,1.19172,0.61255,0.78431,0.83035,0.62123,0.73833,0.49036,1.06188,0.57501,0.79443,0.00047822,0.00047822,0.00047822
46,2932.66,1.24351,0.62617,0.77153,0.84316,0.61006,0.7336,0.48837,1.07101,0.5885,0.7933,0.000477725,0.000477725,0.000477725
47,2988.91,1.37146,0.65362,0.78248,0.81894,0.61623,0.72235,0.45826,1.16112,0.60669,0.79648,0.00047723,0.00047723,0.00047723
48,3049.31,1.39585,0.73173,0.77565,0.79287,0.61319,0.71391,0.46671,1.10099,0.62389,0.79551,0.000476735,0.000476735,0.000476735
49,3107.09,1.38475,0.79409,0.78387,0.83433,0.60847,0.72156,0.47549,1.08562,0.58765,0.79367,0.00047624,0.00047624,0.00047624
50,3191.77,1.36639,0.66165,0.78047,0.81608,0.63113,0.7276,0.48069,1.04345,0.56799,0.79259,0.000475745,0.000475745,0.000475745
51,3330.18,1.23811,0.63474,0.77649,0.82092,0.58846,0.70923,0.45368,1.11203,0.60638,0.7944,0.00047525,0.00047525,0.00047525
52,3390.26,1.23474,0.63722,0.78251,0.82865,0.60533,0.72051,0.47443,1.06016,0.59724,0.7936,0.000474755,0.000474755,0.000474755
53,3444.69,1.22594,0.61526,0.78734,0.83021,0.62707,0.73902,0.49434,1.04466,0.56514,0.7941,0.00047426,0.00047426,0.00047426
54,3530.54,1.26824,0.64107,0.77737,0.81112,0.61842,0.72838,0.47791,1.10133,0.61388,0.79572,0.000473765,0.000473765,0.000473765
55,3597.19,1.22236,0.60661,0.78884,0.81126,0.63056,0.73257,0.48665,1.03345,0.56711,0.79296,0.00047327,0.00047327,0.00047327
56,3656.92,1.25577,0.65482,0.77452,0.82075,0.63972,0.74441,0.49256,1.05611,0.56673,0.79329,0.000472775,0.000472775,0.000472775
57,3715.23,1.35303,0.88815,0.7673,0.82006,0.64944,0.74863,0.50244,1.02824,0.54366,0.79192,0.00047228,0.00047228,0.00047228
58,3781.11,1.1912,0.60042,0.77891,0.81357,0.62987,0.73839,0.49101,1.04997,0.57112,0.79365,0.000471785,0.000471785,0.000471785
59,3842.9,1.31499,0.69754,0.7854,0.83283,0.61576,0.7385,0.49503,1.04926,0.57885,0.79509,0.00047129,0.00047129,0.00047129
60,3898.4,1.15455,0.61091,0.78517,0.84556,0.61358,0.73983,0.49233,1.05759,0.56443,0.79386,0.000470795,0.000470795,0.000470795
61,4020.55,1.1659,0.59674,0.78553,0.83516,0.64007,0.75454,0.50749,1.01963,0.53742,0.79215,0.0004703,0.0004703,0.0004703
62,4079.42,1.31666,0.62831,0.77636,0.81871,0.62626,0.73889,0.47984,1.17488,0.62684,0.79577,0.000469805,0.000469805,0.000469805
63,4135.36,1.24091,0.6188,0.77227,0.81278,0.64112,0.74543,0.50475,1.02401,0.55887,0.79262,0.00046931,0.00046931,0.00046931
64,4211.7,1.22971,0.66841,0.78592,0.8281,0.61533,0.72708,0.47662,1.1178,0.6119,0.79397,0.000468815,0.000468815,0.000468815
65,4275.17,1.21242,0.58341,0.78219,0.81228,0.63753,0.73896,0.49189,1.06177,0.58429,0.79203,0.00046832,0.00046832,0.00046832
66,4339.54,1.35784,0.71313,0.78133,0.84055,0.62276,0.74781,0.49326,1.09659,0.57164,0.79257,0.000467825,0.000467825,0.000467825
67,4396.47,1.21891,0.66673,0.78038,0.83358,0.63092,0.74746,0.49878,1.05681,0.56475,0.79219,0.00046733,0.00046733,0.00046733
68,4454.86,1.21412,0.59791,0.78054,0.85603,0.62102,0.75671,0.5132,1.0225,0.5654,0.79265,0.000466835,0.000466835,0.000466835
69,4512.92,1.25352,0.61225,0.78318,0.84054,0.63086,0.75493,0.51525,1.01781,0.5623,0.79217,0.00046634,0.00046634,0.00046634
70,4576.59,1.16461,0.57197,0.77747,0.82991,0.64588,0.74966,0.50851,1.00878,0.54989,0.79234,0.000465845,0.000465845,0.000465845
71,4634.14,1.0899,0.56805,0.77589,0.82153,0.64236,0.74724,0.49844,1.06991,0.57,0.79329,0.00046535,0.00046535,0.00046535
72,4691.5,1.04932,0.55958,0.77963,0.82796,0.65027,0.7592,0.51887,0.97428,0.54935,0.79165,0.000464855,0.000464855,0.000464855
73,4756.35,1.22282,0.61808,0.77905,0.82643,0.65054,0.76099,0.51446,0.99599,0.54043,0.79198,0.00046436,0.00046436,0.00046436
74,4812.36,1.1224,0.55235,0.78484,0.83185,0.63369,0.75562,0.51085,0.99288,0.54934,0.79123,0.000463865,0.000463865,0.000463865
