epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4519,2.31531,3.78963,0.9766,0.33607,0.20948,0.19305,0.08813,2.07099,1.78778,0.8819,0.091045,4.5e-05,4.5e-05
2,54.9387,2.32654,1.82247,0.84488,0.34201,0.28137,0.23849,0.09475,2.2892,1.46563,0.87444,0.0810949,9.4906e-05,9.4906e-05
3,84.675,2.00437,1.19998,0.83544,0.37907,0.28021,0.24048,0.0993,2.09421,1.6914,0.84541,0.0711447,0.000144713,0.000144713
4,110.681,1.90725,1.11843,0.8328,0.46019,0.43121,0.35349,0.16876,1.93179,1.23633,0.83948,0.0611944,0.000194421,0.000194421
5,140.715,1.8324,1.11106,0.80847,0.51129,0.48525,0.41452,0.20419,1.72794,1.04677,0.82643,0.051244,0.00024403,0.00024403
6,166.453,1.62793,0.91919,0.8099,0.49888,0.49679,0.43281,0.22179,1.64001,0.9756,0.81872,0.0412935,0.00029354,0.00029354
7,202.677,1.70589,1.00144,0.80564,0.5616,0.51095,0.49628,0.25982,1.57434,0.89256,0.81445,0.031343,0.000342951,0.000342951
8,238.665,1.51476,0.85848,0.79974,0.60005,0.53291,0.52018,0.28794,1.47742,0.86618,0.812,0.0213923,0.000392263,0.000392263
9,264.356,1.57996,0.87425,0.79882,0.62539,0.51279,0.53087,0.29205,1.45134,0.81443,0.81103,0.0114415,0.000441476,0.000441476
10,283.576,1.6924,1.04159,0.80931,0.64317,0.55905,0.57531,0.32464,1.41906,0.79238,0.80954,0.00149059,0.00049059,0.00049059
11,320.058,1.48883,0.8845,0.80424,0.63138,0.55345,0.57734,0.32507,1.41709,0.79406,0.80816,0.00049505,0.00049505,0.00049505
12,338.34,1.52151,0.83252,0.79645,0.66266,0.53857,0.58342,0.34476,1.32477,0.76027,0.80794,0.000494555,0.000494555,0.000494555
13,380.963,1.53202,0.8094,0.79504,0.65943,0.5427,0.59065,0.34751,1.34486,0.75586,0.80756,0.00049406,0.00049406,0.00049406
14,426.995,1.59674,0.87756,0.78155,0.6382,0.5589,0.59667,0.34929,1.34912,0.74566,0.80818,0.000493565,0.000493565,0.000493565
15,476.083,1.38154,0.76652,0.80456,0.67283,0.57499,0.61498,0.36876,1.32204,0.73089,0.80798,0.00049307,0.00049307,0.00049307
16,504.588,1.56811,0.95356,0.79801,0.67485,0.5602,0.62447,0.38205,1.26828,0.71644,0.80533,0.000492575,0.000492575,0.000492575
