epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.74439,2.08404,3.60153,0.97842,0,0,0,0,1.91201,3.61354,0.90533,0,0,0
2,7.41435,2.37043,3.58879,1.00067,0,0,0,0,1.90637,3.61199,0.90498,1.99604e-05,1.99604e-05,1.99604e-05
3,7.89261,2.21236,3.5655,0.95747,0,0,0,0,1.90064,3.60983,0.90345,3.98416e-05,3.98416e-05,3.98416e-05
4,8.31842,2.75364,3.67239,0.99476,0,0,0,0,1.88858,3.60631,0.90278,5.96436e-05,5.96436e-05,5.96436e-05
5,8.72708,2.20244,3.5643,0.9471,0,0,0,0,1.88714,3.6068,0.90178,7.93664e-05,7.93664e-05,7.93664e-05
6,9.54121,2.38024,3.62359,0.99951,0.03111,0.06635,0.01693,0.00724,1.80594,3.51755,0.85217,9.901e-05,9.901e-05,9.901e-05
7,10.1374,2.42034,3.47186,1.04182,0.06889,0.14692,0.04131,0.01638,1.90718,3.49688,0.83819,0.000118574,0.000118574,0.000118574
8,10.6893,1.85432,3.40796,0.89993,0.07889,0.16825,0.0487,0.0167,2.03469,3.49296,0.84444,0.00013806,0.00013806,0.00013806
9,11.2438,2.33832,3.27708,0.93651,0.02889,0.06161,0.01567,0.00582,2.12424,3.53698,0.84826,0.000157466,0.000157466,0.000157466
10,11.7702,2.36984,3.16754,0.92509,0.02889,0.06161,0.01566,0.00497,2.22565,3.5469,0.85405,0.000176792,0.000176792,0.000176792
11,12.5531,2.22965,3.02982,0.88414,0.07222,0.15403,0.04382,0.01364,2.15862,3.50531,0.85039,0.00019604,0.00019604,0.00019604
12,13.143,2.28663,2.9886,0.90027,0.09444,0.20142,0.06039,0.0221,2.0939,3.45942,0.84994,0.000215208,0.000215208,0.000215208
13,13.7862,2.3657,2.93826,0.90332,0.09889,0.2109,0.06353,0.02192,2.14694,3.46192,0.8534,0.000234298,0.000234298,0.000234298
14,14.3865,2.1508,2.76936,0.87268,0.10111,0.21564,0.06533,0.02175,2.13695,3.46227,0.85155,0.000253308,0.000253308,0.000253308
15,15.0828,2.2954,2.78826,0.88254,0.11667,0.24882,0.07737,0.02505,2.12501,3.4628,0.8483,0.000272238,0.000272238,0.000272238
16,15.8422,2.28676,2.62785,0.86141,0.13222,0.28199,0.09169,0.03115,2.04667,3.45324,0.84306,0.00029109,0.00029109,0.00029109
17,16.76,2.34764,2.56751,0.87393,0.15444,0.32938,0.11144,0.04195,1.8663,3.43578,0.82977,0.000309862,0.000309862,0.000309862
18,17.3648,2.08817,2.5013,0.86708,0.15444,0.32938,0.11144,0.04195,1.8663,3.43578,0.82977,0.000328556,0.000328556,0.000328556
19,17.9753,2.6371,2.60237,0.86796,0.14778,0.31517,0.10366,0.03643,1.78265,3.43161,0.82357,0.00034717,0.00034717,0.00034717
20,18.6907,2.59895,2.57385,0.89096,0.14778,0.31517,0.10366,0.03643,1.78265,3.43161,0.82357,0.000365704,0.000365704,0.000365704
21,19.3774,2.44921,2.57378,0.88044,0.16222,0.34597,0.11632,0.04298,1.75164,3.4104,0.82487,0.00038416,0.00038416,0.00038416
22,19.9445,2.2342,2.19381,0.85869,0.16222,0.34597,0.11632,0.04298,1.75164,3.4104,0.82487,0.000402536,0.000402536,0.000402536
23,20.6498,2.29279,2.14691,0.84749,0.14333,0.30569,0.09823,0.03321,1.78752,3.41715,0.8286,0.000420834,0.000420834,0.000420834
24,21.2694,2.30292,2.19822,0.86161,0.14333,0.30569,0.09823,0.03321,1.78752,3.41715,0.8286,0.000439052,0.000439052,0.000439052
25,22.0173,2.18183,2.24597,0.86005,0.12667,0.27014,0.083,0.02542,1.93039,3.39944,0.83787,0.00045719,0.00045719,0.00045719
